Narrow 1
Line_name,Flux,Flux_error
H-Beta,8.678,0.11
OIII-4959A,3.028,0.118
OIII-5007A,9.382,0.626
OI-6300A,0.555,0.032
NII-6548A,2.465,0.033
H-Alpha,43.323,0.265
NII-6584A,7.122,0.276
SII-6717A,5.683,0.162
SII-6731A,3.936,0.049
