Broad
Line_name,Flux,Flux_error
H-Beta,3.083,0.107
OIII-4959A,2.373,0.122
OIII-5007A,8.347,0.573
OI-6300A,0.405,0.039
NII-6548A,0.322,0.034
H-Alpha,8.361,0.279
NII-6584A,1.639,0.288
SII-6717A,0.812,0.191
SII-6731A,0.608,0.051
