global
Line_name,Flux,Flux_error
H-Beta,13.493,0.161
OIII-4959A,5.912,0.178
OIII-5007A,18.979,0.911
OI-6300A,1.077,0.052
NII-6548A,3.323,0.05
H-Alpha,58.166,0.42
NII-6584A,10.432,0.409
SII-6717A,7.652,0.268
SII-6731A,5.462,0.074
